col1,col2,col3,col4,col5,col6,class
0.65,0.53,0.56,0.65,0.52,75,2
0.67,0.56,0.56,0.65,0.52,93,2
0.71,0.7,0.59,0.77,0.66,154,3
0.71,0.62,0.6,0.76,0.64,-76,1
0.65,0.47,0.56,0.66,0.54,-66,0
0.65,0.5,0.56,0.65,0.51,64,2
0.65,0.51,0.56,0.66,0.52,60,2
0.65,0.51,0.56,0.66,0.53,204,2
0.7,0.56,0.56,0.69,0.56,94,3
0.74,0.64,0.58,0.74,0.65,25,3
0.62,0.47,0.55,0.67,0.55,14,2
0.64,0.5,0.54,0.65,0.53,43,2
0.67,0.55,0.56,0.66,0.56,145,2
0.75,0.66,0.59,0.75,0.67,120,3
0.65,0.52,0.56,0.69,0.6,14,2
0.64,0.48,0.55,0.65,0.53,-43,0
0.65,0.52,0.56,0.65,0.51,10,2
0.64,0.53,0.57,0.65,0.52,91,2
0.65,0.53,0.57,0.66,0.52,34,2
0.67,0.57,0.56,0.66,0.54,37,2
0.74,0.68,0.6,0.75,0.67,87,3
0.65,0.53,0.57,0.7,0.6,34,3
0.65,0.5,0.55,0.65,0.51,83,2
0.65,0.51,0.56,0.66,0.52,-24,0
0.67,0.67,0.58,0.72,0.62,152,3
0.71,0.65,0.63,0.76,0.68,20,3
0.64,0.49,0.57,0.67,0.56,14,2
0.64,0.49,0.56,0.65,0.5,14,2
0.65,0.51,0.56,0.65,0.51,74,2
0.68,0.56,0.58,0.68,0.55,64,3
0.66,0.55,0.58,0.68,0.55,52,2
0.67,0.57,0.59,0.69,0.55,56,3
0.67,0.56,0.59,0.68,0.55,52,3
0.67,0.56,0.59,0.68,0.56,-3,1
0.67,0.56,0.59,0.69,0.56,111,3
0.67,0.55,0.59,0.7,0.55,30,3
0.66,0.56,0.59,0.69,0.55,44,3
0.68,0.55,0.6,0.69,0.55,64,3
0.68,0.56,0.59,0.69,0.55,59,3
0.68,0.56,0.59,0.69,0.57,-72,1
0.68,0.56,0.61,0.72,0.55,-104,1
0.82,0.61,0.69,0.84,0.64,426,3
0.73,0.55,0.64,0.77,0.6,247,3
0.65,0.55,0.59,0.65,0.57,-40,0
0.65,0.55,0.6,0.65,0.56,-75,0
0.65,0.55,0.59,0.68,0.56,-554,0
0.74,0.61,0.65,0.87,0.6,483,3
0.73,0.57,0.63,0.76,0.6,13,3
0.68,0.55,0.57,0.67,0.56,-78,0
0.67,0.56,0.58,0.66,0.55,3,2
0.67,0.56,0.59,0.68,0.56,-282,1
0.73,0.57,0.61,0.78,0.56,493,3
0.81,0.56,0.61,0.78,0.61,57,3
0.66,0.54,0.57,0.67,0.56,-92,0
0.67,0.55,0.58,0.67,0.56,-85,0
0.67,0.56,0.58,0.68,0.54,122,2
0.67,0.56,0.57,0.67,0.55,-646,0
0.73,0.55,0.61,0.79,0.58,105,3
0.84,0.6,0.64,0.82,0.6,246,3
0.75,0.58,0.63,0.75,0.57,144,3
0.66,0.55,0.58,0.67,0.55,-78,0
0.67,0.57,0.57,0.7,0.55,-85,1
0.82,0.63,0.64,0.83,0.59,311,3
0.76,0.6,0.63,0.74,0.58,133,3
0.69,0.56,0.58,0.65,0.55,119,2
0.67,0.55,0.56,0.66,0.55,-127,0
0.67,0.58,0.57,0.68,0.56,-186,1
0.74,0.58,0.58,0.72,0.58,79,3
0.78,0.65,0.63,0.79,0.66,392,3
0.67,0.55,0.58,0.69,0.57,56,3
0.68,0.57,0.56,0.67,0.55,54,2
0.68,0.57,0.58,0.67,0.56,51,3
0.69,0.56,0.58,0.68,0.58,55,3
0.67,0.55,0.57,0.67,0.55,52,2
0.68,0.55,0.58,0.67,0.55,61,2
0.68,0.56,0.58,0.67,0.56,28,3
0.69,0.56,0.57,0.67,0.56,58,3
0.68,0.56,0.57,0.67,0.56,54,2
0.68,0.57,0.58,0.68,0.56,66,3
0.68,0.56,0.57,0.68,0.54,99,2
0.68,0.55,0.57,0.67,0.55,15,2
0.69,0.57,0.56,0.7,0.56,-63,1
0.71,0.57,0.6,0.77,0.57,138,3
0.8,0.64,0.62,0.82,0.59,171,3
0.71,0.56,0.58,0.72,0.57,-6,1
0.66,0.55,0.56,0.66,0.55,-175,0
0.67,0.58,0.57,0.72,0.56,-120,1
0.87,0.68,0.64,0.91,0.62,468,3
0.77,0.61,0.61,0.77,0.59,47,3
0.69,0.53,0.56,0.66,0.55,121,2
0.68,0.56,0.56,0.68,0.56,-18,0
0.68,0.55,0.57,0.69,0.56,233,3
0.68,0.56,0.58,0.68,0.54,-329,0
0.73,0.57,0.6,0.7,0.59,245,3
0.72,0.59,0.6,0.7,0.61,279,3
0.67,0.56,0.56,0.68,0.57,50,2
0.68,0.54,0.57,0.68,0.55,-585,0
0.71,0.59,0.59,0.7,0.57,118,3
0.76,0.61,0.63,0.72,0.63,430,3
0.69,0.57,0.59,0.71,0.58,125,3
0.68,0.55,0.57,0.69,0.55,-374,0
0.69,0.56,0.58,0.69,0.56,-39,1
0.78,0.62,0.63,0.71,0.6,361,3
0.72,0.59,0.59,0.7,0.59,144,3
0.66,0.53,0.57,0.68,0.56,-168,0
0.7,0.55,0.58,0.7,0.56,-232,1
0.76,0.62,0.62,0.72,0.61,279,3
0.75,0.64,0.62,0.7,0.59,376,3
0.69,0.56,0.57,0.68,0.56,35,3
0.67,0.54,0.57,0.68,0.54,28,2
0.64,0.55,0.57,0.69,0.55,60,2
0.66,0.56,0.62,0.69,0.55,63,3
0.66,0.54,0.58,0.68,0.56,36,2
0.67,0.54,0.57,0.69,0.55,46,2
0.67,0.56,0.57,0.69,0.56,37,3
0.66,0.55,0.58,0.69,0.55,89,2
0.66,0.55,0.57,0.69,0.55,29,2
0.68,0.57,0.57,0.7,0.55,-268,1
0.73,0.62,0.57,0.75,0.6,208,3
0.72,0.59,0.58,0.74,0.6,287,3
0.7,0.54,0.58,0.69,0.58,-35,1
0.69,0.54,0.56,0.67,0.55,-130,0
0.72,0.6,0.57,0.72,0.57,131,3
0.75,0.61,0.59,0.78,0.65,249,3
0.7,0.58,0.57,0.73,0.59,149,3
0.67,0.54,0.56,0.66,0.56,-163,0
0.7,0.6,0.56,0.73,0.59,-132,1
0.74,0.62,0.6,0.8,0.65,447,3
0.7,0.58,0.6,0.73,0.6,133,3
0.67,0.53,0.56,0.67,0.55,58,2
0.69,0.54,0.57,0.68,0.57,-494,1
0.74,0.64,0.6,0.8,0.65,292,3
0.73,0.61,0.6,0.76,0.61,424,3
0.7,0.52,0.58,0.7,0.58,27,3
0.66,0.55,0.57,0.68,0.57,-458,0
0.73,0.63,0.6,0.78,0.64,288,3
0.73,0.6,0.6,0.76,0.63,187,3
0.68,0.53,0.55,0.7,0.56,34,2
0.67,0.52,0.57,0.67,0.56,-177,0
0.68,0.59,0.58,0.74,0.58,157,3
0.75,0.63,0.63,0.81,0.65,255,3
0.65,0.56,0.58,0.71,0.57,61,3
0.65,0.53,0.56,0.67,0.55,-12,0
0.68,0.53,0.58,0.68,0.55,98,2
0.7,0.58,0.57,0.71,0.57,25,3
0.79,0.63,0.61,0.8,0.64,144,3
0.78,0.6,0.61,0.78,0.65,81,3
0.68,0.55,0.57,0.69,0.58,8,3
0.65,0.52,0.56,0.66,0.55,44,2
0.67,0.57,0.57,0.68,0.55,54,2
0.68,0.54,0.58,0.68,0.56,56,2
0.66,0.56,0.58,0.68,0.56,55,2
0.67,0.56,0.57,0.67,0.57,59,2
0.66,0.55,0.58,0.69,0.53,39,2
0.66,0.55,0.57,0.7,0.57,40,3
0.66,0.57,0.57,0.67,0.55,70,2
0.66,0.55,0.57,0.68,0.55,73,2
0.65,0.56,0.55,0.67,0.56,46,2
0.69,0.58,0.56,0.68,0.56,74,3
0.7,0.67,0.58,0.77,0.64,61,3
0.72,0.65,0.58,0.79,0.65,-21,1
0.66,0.52,0.58,0.69,0.58,1,2
0.65,0.52,0.56,0.67,0.55,157,2
